county_name,article,tax_allocation_point_of_sale,gs_105_524_adjustments,tax_allocation_other_1,article_42_adjustment_2,cost_of_collection_3,per_capita_adjustments,gs_105_486_b_adjustment_4,distributable_proceeds,month,year,date,fiscal_year
Chatham,40-Food,0,0,44123.67,0,-147.37,0,1024.58,45000.88,july,2016,2016-07-01,2017
Chatham,42,258504.91,-7748.67,0,-2683.37,-828.56,0,0,247244.31,july,2016,2016-07-01,2017
Chatham,42-Food,0,0,44123.67,0,-147.37,0,1024.58,45000.88,july,2016,2016-07-01,2017
Chatham,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Chatham,44,43.72,0,0,0,-0.15,0,0,43.57,july,2016,2016-07-01,2017
Chatham,44 *524(c.),0,111631,0,0,-372.85,0,0,111258.15,july,2016,2016-07-01,2017
Chatham,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Chatham,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Chatham,Total,1034063.36,80636.32,136828.6,-2683.37,-4171.14,143501.88,11215.23,1399390.88,july,2016,2016-07-01,2017
Cherokee,39,277427.65,-8315.88,0,0,-898.83,0,0,268212.94,july,2016,2016-07-01,2017
Cherokee,39-Food,0,0,44374.97,0,-148.21,0,0,44226.76,july,2016,2016-07-01,2017
Cherokee,40,138713.83,-4157.94,0,0,-449.42,23038.51,-2644.9,154500.08,july,2016,2016-07-01,2017
Cherokee,40-Food,0,0,17624.43,0,-58.87,0,-295.64,17269.92,july,2016,2016-07-01,2017
Cherokee,42,138713.83,-4157.94,0,-1439.9,-444.61,0,0,132671.38,july,2016,2016-07-01,2017
Cherokee,42-Food,0,0,17624.43,0,-58.87,0,-295.64,17269.92,july,2016,2016-07-01,2017
Cherokee,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Cherokee,44,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Cherokee,44 *524(c.),0,16956.61,0,0,-56.64,0,0,16899.97,july,2016,2016-07-01,2017
Cherokee,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Cherokee,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Cherokee,Total,554855.31,324.85,79623.83,-1439.9,-2115.45,23038.51,-3236.18,651050.97,july,2016,2016-07-01,2017
Chowan,39,106099.27,-3180.32,0,0,-343.75,0,0,102575.2,july,2016,2016-07-01,2017
Chowan,39-Food,0,0,21868.6,0,-73.04,0,0,21795.56,july,2016,2016-07-01,2017
Chowan,40,53049.64,-1590.16,0,0,-171.87,32497.09,7835.94,91620.64,july,2016,2016-07-01,2017
Chowan,40-Food,0,0,9396.79,0,-31.39,0,875.9,10241.3,july,2016,2016-07-01,2017
Chowan,42,53049.64,-1590.16,0,-550.67,-170.04,0,0,50738.77,july,2016,2016-07-01,2017
Chowan,42-Food,0,0,9396.79,0,-31.39,0,875.9,10241.3,july,2016,2016-07-01,2017
Chowan,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Chowan,44,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Chowan,44 *524(c.),0,18369.66,0,0,-61.35,0,0,18308.31,july,2016,2016-07-01,2017
Chowan,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Chowan,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Chowan,Total,212198.55,12009.02,40662.18,-550.67,-882.83,32497.09,9587.74,305521.08,july,2016,2016-07-01,2017
Clay,39,68713.84,-2059.69,0,0,-222.62,0,0,66431.53,july,2016,2016-07-01,2017
Clay,39-Food,0,0,10636.5,0,-35.53,0,0,10600.97,july,2016,2016-07-01,2017
Clay,40,34356.92,-1029.85,0,0,-111.31,28575.17,-2279.82,59511.11,july,2016,2016-07-01,2017
Clay,40-Food,0,0,6930.1,0,-23.15,0,-254.84,6652.11,july,2016,2016-07-01,2017
Clay,42,34356.92,-1029.85,0,-356.64,-110.12,0,0,32860.31,july,2016,2016-07-01,2017
Clay,42-Food,0,0,6930.1,0,-23.15,0,-254.84,6652.11,july,2016,2016-07-01,2017
Clay,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Clay,44,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Clay,44 *524(c.),0,22608.81,0,0,-75.51,0,0,22533.3,july,2016,2016-07-01,2017
Clay,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Clay,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Clay,Total,137427.68,18489.42,24496.7,-356.64,-601.39,28575.17,-2789.5,205241.44,july,2016,2016-07-01,2017
Cleveland,39,791794.42,-23733.99,0,0,-2565.32,0,0,765495.11,july,2016,2016-07-01,2017
Cleveland,39-Food,0,0,144745.56,0,-483.45,0,0,144262.11,july,2016,2016-07-01,2017
Cleveland,40,395897.22,-11866.99,0,0,-1282.66,177801.63,7436.28,567985.48,july,2016,2016-07-01,2017
