county,gross_collections,foreign_collections,refunds,net_collections,month,year,date,fiscal_year
Robeson,2700385.1300000004,11045.82,443071.78,2268359.17,april,2017,2017-04-01,2017
Rockingham,1729802.36,8602.99,17762.03,1720643.32,april,2017,2017-04-01,2017
Rowan,3368568.01,17127.199999999997,36250.65,3349444.56,april,2017,2017-04-01,2017
Rutherford,1358999.52,6990.05,8614.09,1357375.48,april,2017,2017-04-01,2017
Sampson,1192581.5799999998,5412.27,90114.16,1107879.69,april,2017,2017-04-01,2017
Scotland,760327.86,3070.05,137983.92,625413.99,april,2017,2017-04-01,2017
Stanly,1386342.5599999998,7192.52,4988.66,1388546.42,april,2017,2017-04-01,2017
Stokes,601678.91,2952.69,3749.46,600882.14,april,2017,2017-04-01,2017
Surry,2163430.8000000003,10995.07,13712.54,2160713.33,april,2017,2017-04-01,2017
Swain,237007.42,1153.29,4195.49,233965.22,april,2017,2017-04-01,2017
Transylvania,736653.05,3354.4,78339.8,661667.65,april,2017,2017-04-01,2017
Tyrrell,53875.35999999999,265.37,57.39,54083.34,april,2017,2017-04-01,2017
Union,4684512.5600000005,25314.97,30716.58,4679110.95,april,2017,2017-04-01,2017
Vance,1054547.9,5433.31,10170.36,1049810.85,april,2017,2017-04-01,2017
Wake,34428800.33,178354,2364853.87,32242300.46,april,2017,2017-04-01,2017
Warren,211888.62,926.76,9843.15,202972.23,april,2017,2017-04-01,2017
Washington,481635.63,2671.5,1804.73,482502.4,april,2017,2017-04-01,2017
Watauga,1553887.72,8383.130000000001,12196.93,1550073.92,april,2017,2017-04-01,2017
Wayne,2868374.61,15104.74,19109.52,2864369.83,april,2017,2017-04-01,2017
Wilkes,1444324.06,7177.4,7999.14,1443502.32,april,2017,2017-04-01,2017
Wilson,2157237.18,11394.920000000002,22313.75,2146318.35,april,2017,2017-04-01,2017
Yadkin,541742.0900000001,2656.61,2465.14,541933.56,april,2017,2017-04-01,2017
Yancey,254531.43,1206.66,2027.18,253710.91,april,2017,2017-04-01,2017
Alamance,5328279.86,28929.38,59902.39,5297306.85,april,2018,2018-04-01,2018
Alexander,539963.46,2517.15,4389.11,538091.5,april,2018,2018-04-01,2018
Alleghany,155511.50000000003,581.96,23859.320000000003,132234.14,april,2018,2018-04-01,2018
Anson,388976.88,1863.66,1135.12,389705.42,april,2018,2018-04-01,2018
Ashe,582103.4300000002,2893.21,3833.55,581163.0900000001,april,2018,2018-04-01,2018
Avery,451769.7299999999,2167.28,23197.06,430739.95,april,2018,2018-04-01,2018
Beaufort,1100112.17,5618.62,5381,1100349.79,april,2018,2018-04-01,2018
Bertie,230875.67,1125.25,2482.68,229518.24,april,2018,2018-04-01,2018
Bladen,539359.41,2645.98,3092.26,538913.13,april,2018,2018-04-01,2018
Brunswick,3586797.3000000003,18735.29,154665.7,3450866.89,april,2018,2018-04-01,2018
Buncombe,12345980.509999998,64956.55,322235.61000000004,12088701.45,april,2018,2018-04-01,2018
Burke,1736708.6800000002,6698.94,326783.12,1416624.5,april,2018,2018-04-01,2018
Cabarrus,8067363.02,43068.51,162605.11000000002,7947826.42,april,2018,2018-04-01,2018
Caldwell,1490384.73,7387.3899999999985,7677.32,1490094.7999999998,april,2018,2018-04-01,2018
Camden,109541.11,534.22,1384.36,108690.97,april,2018,2018-04-01,2018
Carteret,2312780.2300000004,12305.03,15560.97,2309524.29,april,2018,2018-04-01,2018
Caswell,177796.25,758.5,454.35,178100.4,april,2018,2018-04-01,2018
Catawba,5604741.67,29316.86,65231.45,5568827.08,april,2018,2018-04-01,2018
Chatham,1440406.81,7470.79,41003.28,1406874.32,april,2018,2018-04-01,2018
Cherokee,763407.64,3480.86,72395.00999999998,694493.49,april,2018,2018-04-01,2018
Chowan,311705.17,1412.5500000000002,31132.19,281985.53,april,2018,2018-04-01,2018
Clay,182762.75,923.66,864.0799999999998,182822.33,april,2018,2018-04-01,2018
Cleveland,3260470.1899999995,17669.41,26320.92,3251818.68,april,2018,2018-04-01,2018
Columbus,1080850.39,5453.16,15340.71,1070962.84,april,2018,2018-04-01,2018
Craven,2533442.72,13419.05,22211.91,2524649.86,april,2018,2018-04-01,2018
