county,gross_collections,taxable_sales,month,year,date,fiscal_year
Cabarrus,4150349.99,163688988,november,2000,2000-11-01,2001
Caldwell,1148078.46,56537800,november,2000,2000-11-01,2001
Camden,48228.28,1961382,november,2000,2000-11-01,2001
Carteret,1653614.22,58624175,november,2000,2000-11-01,2001
Caswell,95252.11,7868876,november,2000,2000-11-01,2001
Catawba,4917593.48,203937474,november,2000,2000-11-01,2001
Chatham,617539.8,30518387,november,2000,2000-11-01,2001
Cherokee,620243.07,28765942,november,2000,2000-11-01,2001
Chowan,185962.05,9199026,november,2000,2000-11-01,2001
Clay,117749.8,6636417,november,2000,2000-11-01,2001
Cleveland,1792853.63,83807512,november,2000,2000-11-01,2001
Columbus,870603.3,38622110,november,2000,2000-11-01,2001
Craven,1813097.54,80074672,november,2000,2000-11-01,2001
Cumberland,6375142.32,251146680,november,2000,2000-11-01,2001
Currituck,401695.9,20665667,november,2000,2000-11-01,2001
Dare,2005385.54,64303780,november,2000,2000-11-01,2001
Davidson,2414160.93,105859508,november,2000,2000-11-01,2001
Davie,548228.38,26465666,november,2000,2000-11-01,2001
Duplin,559910.45,24440663,november,2000,2000-11-01,2001
Durham,11097345.75,313456858,november,2000,2000-11-01,2001
Edgecombe,768837.95,33504445,november,2000,2000-11-01,2001
Forsyth,11202807.47,472118352,november,2000,2000-11-01,2001
Franklin,533388.27,23114125,november,2000,2000-11-01,2001
Gaston,3756601.09,173661181,november,2000,2000-11-01,2001
Gates,43433.11,3530132,november,2000,2000-11-01,2001
Graham,84922.65,3064797,november,2000,2000-11-01,2001
Granville,540646.7,30483751,november,2000,2000-11-01,2001
Greene,115709.39,5586936,november,2000,2000-11-01,2001
Guilford,18719787.97,807990306,november,2000,2000-11-01,2001
Halifax,941804.15,42391536,november,2000,2000-11-01,2001
Harnett,1171707.96,51032480,november,2000,2000-11-01,2001
Haywood,1325806.35,49479454,november,2000,2000-11-01,2001
Henderson,2066114.35,80967383,november,2000,2000-11-01,2001
Hertford,580554.37,24627370,november,2000,2000-11-01,2001
Hoke,163734.52,7168042,november,2000,2000-11-01,2001
Hyde,140287.77,4630701,november,2000,2000-11-01,2001
Iredell,3331417.43,151236851,november,2000,2000-11-01,2001
Jackson,836556.79,29282133,november,2000,2000-11-01,2001
Johnston,2295191.03,102040862,november,2000,2000-11-01,2001
Jones,65283.45,2340401,november,2000,2000-11-01,2001
Lee,1336948.06,58385054,november,2000,2000-11-01,2001
Lenoir,1616230.39,65661820,november,2000,2000-11-01,2001
Lincoln,1062972.14,44830751,november,2000,2000-11-01,2001
Macon,1190461.17,41520266,november,2000,2000-11-01,2001
Madison,114756.13,5876700,november,2000,2000-11-01,2001
Martin,461989.12,16059083,november,2000,2000-11-01,2001
McDowell,522739.09,30411785,november,2000,2000-11-01,2001
Mecklenburg,37649352.31,1435167710,november,2000,2000-11-01,2001
Mitchell,306407.64,13378666,november,2000,2000-11-01,2001
Montgomery,381419.56,22604619,november,2000,2000-11-01,2001
Moore,2185200.89,86974035,november,2000,2000-11-01,2001
Nash,2617204.75,118601882,november,2000,2000-11-01,2001
New Hanover,6850938.18,261312907,november,2000,2000-11-01,2001
